,SVL,awesomeness,hostility,attitude,ecomorph,island,,,,
paternus,3.802961204,-0.299550789,0.846263466,-0.963110645,TW,Cuba,,,,
placidus,3.773967107,0.078986096,0.504242392,-0.404363249,TW,Hispaniola,,,,
poncensis,3.820377531,-0.289982852,0.510241609,-0.185439139,GB,Puerto Rico,,,,
porcatus,4.258990989,-0.07464666,0.148259194,-0.571784264,TC,Cuba,,,,
porcus,5.038034268,0.158971414,-0.350187677,0.459870648,U,Cuba,,,,
pulchellus,3.799022266,0.978157532,-0.810754596,1.392775293,GB,Puerto Rico,,,,
pumilis,3.46686027,0.459254083,-0.162682657,-0.476948194,U,Cuba,,,,
quadriocellifer,3.901619072,-0.257638879,0.462708058,-0.271279441,TG,Cuba,,,,
reconditus,4.482606994,0.260965443,-0.271697917,0.013671426,U,Jamaica,,,,
ricordii,5.013963084,-0.456651495,0.663302028,-0.646258371,CG,Hispaniola,,,,
rubribarbus,4.078469213,-0.427757376,0.48004445,-0.967426338,TG,Cuba,,,,
sagrei,4.067161768,-0.630433775,0.719312962,-1.222827638,TG,Cuba,,,,
semilineatus,3.696630586,-0.612226281,0.807322377,-0.829431606,GB,Hispaniola,,,,
sheplani,3.682924257,-0.431283305,0.321955192,-0.805532876,TW,Hispaniola,,,,
shrevei,3.983003234,0.257277082,0.029600473,0.394228848,TG,Hispaniola,,,,
singularis,4.057997494,1.592083294,-1.70105266,1.45313446,TC,Hispaniola,,,,
smallwoodi,5.035095592,-0.018317012,-0.36653114,1.591634408,CG,Cuba,,,,
strahmi,4.274271278,0.340077411,-0.690011247,2.111357201,TG,Hispaniola,,,,
stratulus,3.869880695,-0.314853533,0.515229477,-0.408287159,TC,Puerto Rico,,,,
valencienni,4.321524401,-0.088370075,0.465286788,-0.567548962,TW,Jamaica,,,,
vanidicus,3.62620586,-1.287008036,1.02303768,-0.675917459,GB,Cuba,,,,
vermiculatus,4.802849398,0.159291276,-0.024230945,-0.315755014,U,Cuba,,,,
websteri,3.916546094,0.025584758,0.12404445,0.117586419,T,Hispaniola,,,,
whitemani,4.097478535,-1.457775289,1.096071557,-0.873933332,TG,Hispaniola,,,,
